sampleID,sex,sample_type,weight,optic_disk_morphology,time_dark_side,cataract
K19406,female,control,18.39,normal,221.2,absent
K97598,female,control,18.4,normal,127.5,absent
J19679,female,control,18.4,normal,164.1,absent
C1625,female,control,18.41,normal,285.4,absent
K65443,female,control,18.42,normal,193.9,absent
C9705,female,control,18.43,normal,236.3,absent
K81979,female,control,18.48,normal,147.8,absent
K43483,female,control,18.49,normal,273.4,absent
K93417,female,control,18.5,normal,174.2,absent
K51276,female,control,18.57,normal,159.9,absent
K85200,female,control,18.58,normal,173.5,absent
J5210,female,control,18.58,normal,264.0,absent
K63305,female,control,18.6,normal,143.5,absent
K68026,female,control,18.6,normal,255.8,absent
XL01752,female,control,18.61,normal,95.8,absent
K17424,female,control,18.61,normal,216.9,absent
K44272,female,control,18.61,normal,225.2,absent
K78178,female,control,18.66,normal,164.9,absent
K38254,female,control,18.66,normal,171.2,absent
K41025,female,control,18.7,normal,154.4,absent
K53199,female,control,18.7,normal,192.1,absent
K68025,female,control,18.71,normal,193.6,absent
XL01583,female,control,18.71,normal,208.9,absent
K78175,female,control,18.71,normal,218.5,absent
K43482,female,control,18.72,normal,170.5,absent
J21206,female,control,18.73,normal,140.7,absent
K79069,female,control,18.73,normal,145.8,absent
K81941,female,control,18.75,normal,154.5,absent
K56263,female,control,18.75,normal,178.0,absent
K81977,female,control,18.76,normal,180.6,absent
C8982,female,control,18.77,normal,159.4,absent
J33485,female,control,18.77,normal,161.6,absent
J21207,female,control,18.78,normal,135.2,absent
J33368,female,control,18.78,normal,190.8,absent
J65529,female,control,18.78,normal,198.4,absent
K70487,female,control,18.8,normal,161.5,absent
J8766,female,control,18.81,normal,168.5,absent
J8763,female,control,18.81,normal,209.7,absent
X65629,female,control,18.81,normal,203.9,present
J6982,female,control,18.82,normal,145.3,absent
K91788,female,control,18.82,normal,147.2,absent
K64219,female,control,18.83,normal,148.7,absent
K81943,female,control,18.84,normal,213.5,absent
K29852,female,control,18.85,normal,144.9,absent
K33605,female,control,18.85,normal,184.6,absent
K87944,female,control,18.85,normal,219.0,absent
R20069,female,control,18.85,normal,224.3,present
K33607,female,control,18.86,normal,104.5,absent
K87947,female,control,18.86,normal,129.2,absent
K81942,female,control,18.86,normal,211.0,absent
A36454,female,control,18.87,normal,205.8,absent
K19408,female,control,18.88,normal,217.5,absent
XL01640,female,control,18.89,normal,186.6,absent
K81978,female,control,18.9,normal,111.6,absent
K41028,female,control,18.9,normal,171.5,absent
K81865,female,control,18.9,normal,172.5,absent
K87945,female,control,18.9,normal,226.9,absent
K73949,female,control,18.9,normal,246.1,absent
K20166,female,control,18.91,normal,138.1,absent
J72619,female,control,18.91,normal,210.8,absent
C10618,female,control,18.92,normal,255.3,absent
K81976,female,control,18.93,normal,150.5,absent
C11461,female,control,18.93,normal,258.5,absent
J52137,female,control,18.93,normal,274.7,absent
K98163,female,control,18.95,normal,279.0,absent
K11408,female,control,18.97,normal,220.9,absent
K28001,female,control,18.99,normal,166.9,absent
K87943,female,control,18.99,normal,181.6,absent
K48330,female,control,19.0,normal,144.3,absent
K65441,female,control,19.0,normal,175.8,absent
K31206,female,control,19.0,normal,230.4,absent
X35249,female,control,19.01,normal,196.7,absent
J36543,female,control,19.01,normal,213.9,absent
K10524,female,control,19.05,normal,197.9,absent
XL01750,female,control,19.06,normal,183.8,absent
K2002,female,control,19.08,normal,132.8,absent
K2001,female,control,19.08,normal,176.5,absent
C10616,female,control,19.08,normal,198.8,absent
K68740,female,control,19.08,normal,238.4,absent
K75106,female,control,19.09,normal,164.8,absent
X3,female,control,19.09,normal,193.7,absent
K8010,female,control,19.12,normal,275.0,absent
K26921,female,control,19.13,normal,164.7,absent
K34811,female,control,19.13,normal,208.8,absent
K49506,female,control,19.14,normal,231.1,absent
K79071,female,control,19.14,normal,250.3,absent
K15448,female,control,19.15,normal,155.7,absent
K7790,female,control,19.16,normal,185.2,absent
J2659,female,control,19.16,normal,204.1,absent
XL0005,female,control,19.16,normal,282.2,absent
J25392,female,control,19.17,normal,143.5,absent
C9070,female,control,19.17,normal,159.7,absent
R52214,female,control,19.17,normal,183.0,absent
K15452,female,control,19.18,normal,228.6,absent
XL01643,female,control,19.19,normal,233.3,absent
J78114,female,control,19.19,normal,235.4,absent
J5208,female,control,19.21,normal,173.1,absent
C9068,female,control,19.21,normal,192.2,absent
K97597,female,control,19.22,normal,154.0,absent
J37927,female,control,19.22,normal,200.8,absent
J18312,female,control,19.22,normal,201.2,absent
J36542,female,control,19.23,normal,303.6,absent
K81862,female,control,19.24,normal,196.1,absent
K53198,female,control,19.24,normal,212.1,absent
J76723,female,control,19.25,normal,280.0,absent
J48818,female,control,19.26,normal,171.4,absent
K56261,female,control,19.26,normal,176.5,absent
J16817,female,control,19.27,normal,116.8,absent
C7426,female,control,19.27,normal,177.6,absent
K92854,female,control,19.28,normal,95.5,absent
K89475,female,control,19.28,normal,146.5,absent
K83414,female,control,19.28,normal,148.7,absent
C10060,female,control,19.28,normal,201.2,absent
K59169,female,control,19.29,normal,225.9,absent
K54654,female,control,19.3,normal,186.9,absent
K99253,female,control,19.3,normal,239.2,absent
J37929,female,control,19.31,normal,183.6,absent
K92852,female,control,19.31,normal,184.0,absent
K100416,female,control,19.31,normal,209.2,absent
X54088,female,control,19.31,normal,214.4,present
K89476,female,control,19.32,normal,141.6,absent
K73951,female,control,19.32,normal,162.7,absent
X6379,female,control,19.32,normal,202.1,absent
C8745,female,control,19.32,normal,263.6,absent
K64215,female,control,19.33,normal,153.0,absent
J19681,female,control,19.33,normal,173.2,absent
