sampleID,sex,sample_type,weight,optic_disk_morphology,time_dark_side,cataract
K95283,female,control,20.79,normal,205.5,absent
K10399,female,control,20.79,normal,217.1,absent
K75105,female,control,20.8,normal,166.9,absent
R56528,female,control,20.8,normal,201.0,absent
J47551,female,control,20.8,normal,210.8,absent
C8402,female,control,20.81,normal,152.0,absent
J53430,female,control,20.81,normal,174.1,absent
K20164,female,control,20.81,normal,217.3,absent
X7777,female,control,20.81,normal,202.5,present
K83227,female,control,20.82,normal,142.7,absent
K43481,female,control,20.83,normal,140.8,absent
X3846,female,control,20.83,normal,207.8,absent
K95279,female,control,20.83,normal,251.8,absent
K23152,female,control,20.83,normal,278.5,absent
K32275,female,control,20.84,normal,177.1,absent
K34815,female,control,20.84,normal,194.3,absent
XL01556,female,control,20.84,normal,232.7,absent
J75481,female,control,20.84,normal,235.1,absent
R72432,female,control,20.85,normal,220.7,absent
K16271,female,control,20.85,normal,252.7,absent
C7948,female,control,20.85,normal,363.1,absent
J18310,female,control,20.86,normal,163.4,absent
C5815,female,control,20.86,normal,232.8,absent
C7760,female,control,20.86,normal,254.8,absent
X52431,female,control,20.87,normal,170.8,absent
K25713,female,control,20.87,normal,200.5,absent
20120612F-2,female,control,20.87,normal,219.2,absent
X21029,female,control,20.88,normal,244.8,absent
K10525,female,control,20.89,normal,161.2,absent
C9214,female,control,20.89,normal,173.6,absent
J86996,female,control,20.89,normal,177.9,absent
XL01557,female,control,20.89,normal,190.2,absent
J73719,female,control,20.89,normal,238.4,absent
X9130,female,control,20.9,normal,170.8,absent
J18298,female,control,20.9,normal,189.8,absent
A16186,female,control,20.9,normal,225.0,absent
C9210,female,control,20.9,normal,268.9,absent
X22253,female,control,20.91,normal,224.0,absent
J57541,female,control,20.91,normal,225.5,absent
K81944,female,control,20.91,normal,240.1,absent
J95016,female,control,20.91,normal,257.3,absent
J57540,female,control,20.92,normal,161.6,absent
R46718,female,control,20.92,normal,192.9,absent
R92959,female,control,20.92,normal,214.5,absent
J22920,female,control,20.92,normal,219.4,absent
J61643,female,control,20.92,normal,223.6,absent
J48815,female,control,20.92,normal,238.0,absent
J92306,female,control,20.93,normal,116.2,absent
J52140,female,control,20.93,normal,163.7,absent
20120809F-5,female,control,20.93,normal,182.0,absent
C9451,female,control,20.93,normal,222.7,absent
J78113,female,control,20.93,normal,228.9,absent
J14652,female,control,20.94,normal,181.8,absent
J42479,female,control,20.94,normal,198.7,absent
K8012,female,control,20.95,normal,172.4,absent
J42478,female,control,20.95,normal,181.4,absent
20120802F-1,female,control,20.95,normal,207.9,absent
C8502,female,control,20.95,normal,215.6,absent
J68762,female,control,20.95,normal,254.1,absent
A36451,female,control,20.96,normal,170.9,absent
J18309,female,control,20.96,normal,228.1,absent
J72620,female,control,20.96,normal,212.4,present
J22921,female,control,20.97,normal,186.4,absent
J19807,female,control,20.97,normal,201.1,absent
C2144,female,control,20.97,normal,207.0,absent
K54657,female,control,20.97,normal,224.9,absent
K57816,female,control,20.97,normal,234.7,absent
K5982,female,control,20.97,normal,280.3,absent
C11436,female,control,20.98,normal,81.6,absent
K54655,female,control,20.98,normal,168.6,absent
C5949,female,control,20.98,normal,185.2,absent
K78177,female,control,20.98,normal,185.6,absent
C3271,female,control,20.98,normal,190.0,absent
K95280,female,control,20.98,normal,191.8,absent
K53202,female,control,20.98,normal,208.2,absent
A36452,female,control,20.98,normal,209.2,absent
J6984,female,control,20.99,normal,133.8,absent
K94301,female,control,20.99,normal,147.8,absent
20120612F-5,female,control,20.99,normal,204.0,absent
R77861,female,control,21.0,normal,120.7,absent
J28363,female,control,21.0,normal,152.5,absent
C8065,female,control,21.0,normal,159.5,absent
X9131,female,control,21.0,normal,185.0,absent
J24125,female,control,21.01,normal,192.5,absent
J44472,female,control,21.01,normal,196.2,absent
R7813,female,control,21.01,normal,283.1,absent
C10058,female,control,21.02,normal,114.3,absent
K28649,female,control,21.02,normal,153.3,absent
R42533,female,control,21.02,normal,184.9,absent
X72610,female,control,21.02,normal,211.9,present
K94303,female,control,21.03,normal,149.1,absent
K49503,female,control,21.03,normal,150.6,absent
K1502,female,control,21.03,normal,265.4,absent
C7561,female,control,21.04,normal,198.5,absent
R33336,female,control,21.04,normal,282.0,absent
C10953,female,control,21.05,normal,203.3,absent
K16672,female,control,21.05,normal,225.6,absent
R34541,female,control,21.05,normal,228.5,absent
C11471,female,control,21.05,normal,273.1,absent
R12070,female,control,21.05,normal,298.7,absent
K32274,female,control,21.06,normal,108.5,absent
J12297,female,control,21.06,normal,114.6,absent
J26951,female,control,21.06,normal,199.5,absent
C4220,female,control,21.06,normal,209.6,absent
J33503,female,control,21.06,normal,252.7,absent
J35377,female,control,21.07,normal,142.7,absent
J19808,female,control,21.07,normal,191.7,absent
J87000,female,control,21.07,normal,204.8,absent
R16037,female,control,21.07,normal,213.9,absent
K23154,female,control,21.07,normal,233.0,absent
C2949,female,control,21.07,normal,259.5,absent
A15495,female,control,21.07,normal,272.2,absent
20120726-4,female,control,21.08,normal,167.9,absent
C6907,female,control,21.08,normal,176.4,absent
J79616,female,control,21.08,normal,192.4,absent
J13700,female,control,21.08,normal,218.1,absent
J68764,female,control,21.08,normal,222.4,absent
K48333,female,control,21.08,normal,232.9,absent
C7762,female,control,21.08,normal,289.1,absent
J39516,female,control,21.09,normal,146.9,absent
K3913,female,control,21.09,normal,197.7,absent
K98162,female,control,21.09,normal,201.1,absent
J54603,female,control,21.09,normal,221.2,absent
J82960,female,control,21.1,normal,161.4,absent
X6376,female,control,21.1,normal,233.2,absent
K13718,female,control,21.1,normal,285.3,absent
K19404,female,control,21.11,normal,198.9,absent
A12862,female,control,21.11,normal,241.1,absent
J90832,female,control,21.11,normal,265.4,absent
J42431,female,control,21.12,normal,227.8,absent
C9212,female,control,21.13,normal,181.4,absent
R17017,female,control,21.13,normal,199.4,absent
20120515F-15,female,control,21.13,normal,207.8,absent
X57570,female,control,21.13,normal,198.8,present
R87439,female,control,21.14,normal,168.3,absent
J8765,female,control,21.15,normal,167.4,absent
K99252,female,control,21.15,normal,173.8,absent
R25862,female,control,21.15,normal,228.3,absent
J29529,female,control,21.16,normal,177.4,absent
R65190,female,control,21.17,normal,162.0,absent
X5243,female,control,21.17,normal,181.9,absent
J33371,female,control,21.17,normal,190.1,absent
K16674,female,control,21.17,normal,230.5,absent
K3855,female,control,21.18,normal,175.0,absent
R18819,female,control,21.18,normal,187.3,absent
R59071,female,control,21.18,normal,194.0,absent
K5242,female,control,21.18,normal,240.9,absent
XL01555,female,control,21.18,normal,252.6,absent
C5165,female,control,21.18,normal,304.8,absent
J34545,female,control,21.19,normal,158.5,absent
K22140,female,control,21.19,normal,171.0,absent
K21279,female,control,21.2,normal,152.7,absent
J31965,female,control,21.2,normal,174.9,absent
K423,female,control,21.2,normal,228.8,absent
K6941,female,control,21.2,normal,236.7,absent
J18311,female,control,21.21,normal,125.2,absent
R56531,female,control,21.21,normal,190.8,absent
J6975,female,control,21.22,normal,102.0,absent
C11463,female,control,21.22,normal,225.8,absent
J96041,female,control,21.22,normal,291.9,absent
X61554,female,control,21.23,normal,178.5,absent
J71674,female,control,21.23,normal,229.1,absent
C5161,female,control,21.24,normal,226.1,absent
R24399,female,control,21.25,normal,112.9,absent
J65513,female,control,21.25,normal,217.3,absent
J33369,female,control,21.25,normal,220.5,absent
K11407,female,control,21.25,normal,241.2,absent
C10952,female,control,21.25,normal,288.5,absent
X10271,female,control,21.26,normal,124.9,absent
K8055,female,control,21.26,normal,280.2,absent
J37931,female,control,21.27,normal,197.0,absent
K50707,female,control,21.27,normal,210.8,absent
C10954,female,control,21.27,normal,259.6,absent
X23404,female,control,21.27,normal,204.6,present
K3119,female,control,21.28,normal,197.1,absent
X6377,female,control,21.28,normal,265.5,absent
J65527,female,control,21.29,normal,201.7,present
X67950,female,control,21.29,normal,234.8,present
J35381,female,control,21.3,normal,130.3,absent
K79070,female,control,21.3,normal,140.4,absent
J35389,female,control,21.3,normal,180.7,absent
R42534,female,control,21.31,normal,180.6,absent
C8504,female,control,21.31,normal,218.5,absent
X46191,female,control,21.31,normal,231.9,absent
J72617,female,control,21.31,normal,266.0,present
J45302,female,control,21.32,normal,175.8,absent
J53431,female,control,21.32,normal,245.2,absent
X32889,female,control,21.32,normal,252.3,absent
K50706,female,control,21.32,normal,276.8,absent
C7950,female,control,21.32,normal,310.2,absent
X79308,female,control,21.33,normal,157.6,absent
K96326,female,control,21.33,normal,225.5,absent
R13167,female,control,21.33,normal,231.4,absent
C8064,female,control,21.33,normal,234.4,absent
J73718,female,control,21.33,normal,237.7,absent
K98164,female,control,21.33,normal,261.9,absent
J89906,female,control,21.34,normal,123.2,absent
J12294,female,control,21.34,normal,135.9,absent
C10950,female,control,21.34,normal,227.3,absent
C6904,female,control,21.34,normal,230.9,absent
K21275,female,control,21.34,normal,260.2,absent
J37928,female,control,21.35,normal,160.0,absent
C8400,female,control,21.35,normal,165.1,absent
J31004,female,control,21.35,normal,189.6,absent
K99250,female,control,21.35,normal,193.1,absent
J10329,female,control,21.35,normal,235.6,absent
J64023,female,control,21.35,normal,241.2,absent
R17015,female,control,21.35,normal,192.7,present
J78111,female,control,21.36,normal,159.0,absent
J44473,female,control,21.36,normal,201.6,absent
R45047,female,control,21.36,normal,217.8,absent
X11458,female,control,21.37,normal,166.8,absent
K71507,female,control,21.37,normal,190.8,absent
A16187,female,control,21.37,normal,205.9,absent
J68761,female,control,21.37,normal,206.2,present
J27015,female,control,21.38,normal,129.3,absent
J6986,female,control,21.38,normal,207.5,absent
20120823F-2,female,control,21.38,normal,224.4,absent
C11434,female,control,21.39,normal,177.1,absent
K50710,female,control,21.39,normal,177.5,absent
R17013,female,control,21.39,normal,205.6,absent
20120522F-2,female,control,21.4,normal,135.4,absent
K80535,female,control,21.4,normal,159.3,absent
C6908,female,control,21.4,normal,168.2,absent
C5315,female,control,21.41,normal,195.0,absent
X21176,female,control,21.41,normal,226.2,absent
R46717,female,control,21.41,normal,236.3,absent
J9676,female,control,21.41,normal,236.9,absent
J84972,female,control,21.41,normal,243.2,absent
J13697,female,control,21.41,normal,247.1,absent
J76719,female,control,21.42,normal,224.6,absent
R36752,female,control,21.42,normal,251.8,absent
J21205,female,control,21.43,normal,176.9,absent
R68196,female,control,21.43,normal,184.7,absent
K17427,female,control,21.43,normal,253.7,absent
R22115,female,control,21.43,normal,191.3,present
J65512,female,control,21.44,normal,211.8,absent
J8778,female,control,21.44,normal,213.4,absent
J8779,female,control,21.44,normal,239.4,absent
X23406,female,control,21.44,normal,217.7,present
J28364,female,control,21.45,normal,168.7,absent
K81880,female,control,21.45,normal,208.8,absent
K56262,female,control,21.45,normal,222.0,absent
R87442,female,control,21.45,normal,231.8,absent
XL0002,female,control,21.45,normal,249.1,absent
J21179,female,control,21.46,normal,187.7,absent
K25712,female,control,21.46,normal,201.3,absent
K22139,female,control,21.47,normal,171.3,absent
J35388,female,control,21.47,normal,197.6,absent
J16819,female,control,21.48,normal,150.2,absent
X59908,female,control,21.48,normal,165.3,absent
J46594,female,control,21.48,normal,209.1,absent
X84469,female,control,21.48,normal,212.0,absent
R66592,female,control,21.48,normal,217.3,absent
X55050,female,control,21.48,normal,234.7,absent
J10330,female,control,21.49,normal,181.4,absent
K54653,female,control,21.5,normal,125.5,absent
X3844,female,control,21.5,normal,228.1,absent
C7562,female,control,21.5,normal,232.0,absent
K99249,female,control,21.51,normal,193.0,absent
J33504,female,control,21.51,normal,194.0,absent
C7425,female,control,21.51,normal,210.1,absent
X7780,female,control,21.52,normal,153.8,absent
C9067,female,control,21.52,normal,169.5,absent
J71676,female,control,21.52,normal,295.9,absent
J16420,female,control,21.53,normal,173.2,absent
C4323,female,control,21.53,normal,260.4,absent
K66471,female,control,21.54,normal,151.1,absent
J89908,female,control,21.54,normal,193.1,absent
J42432,female,control,21.54,normal,200.2,absent
R94872,female,control,21.54,normal,211.9,absent
J96038,female,control,21.54,normal,234.8,absent
K98165,female,control,21.54,normal,247.7,absent
C4324,female,control,21.54,normal,276.6,absent
J24126,female,control,21.55,normal,203.6,absent
R57102,female,control,21.56,normal,152.2,absent
X50984,female,control,21.56,normal,169.9,present
J9677,female,control,21.57,normal,165.6,absent
X65628,female,control,21.57,normal,200.6,absent
C2945,female,control,21.57,normal,230.8,absent
K28000,female,control,21.57,normal,234.8,absent
J22919,female,control,21.58,normal,142.2,absent
J65525,female,control,21.58,normal,167.0,absent
X49742,female,control,21.58,normal,167.8,absent
K80534,female,control,21.58,normal,183.7,absent
J36553,female,control,21.58,normal,192.1,absent
R41003,female,control,21.58,normal,226.4,absent
K5984,female,control,21.58,normal,272.4,absent
R23745,female,control,21.59,normal,165.0,absent
X34251,female,control,21.59,normal,218.7,absent
J38009,female,control,21.59,normal,233.4,absent
J97987,female,control,21.59,normal,244.3,absent
J47550,female,control,21.59,normal,264.7,absent
X40910,female,control,21.6,normal,171.0,absent
R15185,female,control,21.6,normal,188.8,absent
J16820,female,control,21.6,normal,199.0,absent
K48334,female,control,21.6,normal,214.4,absent
J44474,female,control,21.61,normal,208.0,absent
A10542,female,control,21.61,normal,213.3,absent
J76722,female,control,21.61,normal,238.2,absent
C11473,female,control,21.61,normal,240.3,absent
J89905,female,control,21.61,normal,187.9,present
C10617,female,control,21.62,normal,186.5,absent
J4596,female,control,21.62,normal,208.4,absent
X96186,female,control,21.62,normal,315.0,absent
X6375,female,control,21.62,normal,227.5,present
K79073,female,control,21.63,normal,126.1,absent
C8062,female,control,21.63,normal,158.4,absent
X9128,female,control,21.63,normal,192.8,absent
C7758,female,control,21.63,normal,286.7,absent
A10545,female,control,21.64,normal,220.3,absent
K7802,female,control,21.64,normal,249.4,absent
R83975,female,control,21.65,normal,134.7,absent
J95018,female,control,21.65,normal,144.3,absent
R56530,female,control,21.65,normal,231.1,absent
XL01558,female,control,21.66,normal,189.9,absent
20120816F-5,female,control,21.66,normal,252.2,absent
K1500,female,control,21.66,normal,348.8,absent
J69867,female,control,21.66,normal,252.5,present
K75103,female,control,21.67,normal,162.7,absent
R5526,female,control,21.67,normal,195.9,absent
C6357,female,control,21.67,normal,198.1,absent
X41905,female,control,21.67,normal,204.2,absent
J25393,female,control,21.67,normal,210.8,absent
R13168,female,control,21.67,normal,351.0,absent
20120816F-2,female,control,21.68,normal,188.3,absent
K40102,female,control,21.68,normal,189.0,absent
J35390,female,control,21.68,normal,198.1,absent
K23155,female,control,21.68,normal,211.7,absent
J33489,female,control,21.68,normal,224.9,absent
C10227,female,control,21.68,normal,244.2,absent
J18313,female,control,21.68,normal,247.0,absent
C4217,female,control,21.68,normal,247.5,absent
C7424,female,control,21.69,normal,141.6,absent
J28170,female,control,21.69,normal,210.2,absent
20120726F-2,female,control,21.7,normal,199.1,absent
R33339,female,control,21.7,normal,207.0,absent
R16034,female,control,21.7,normal,209.0,absent
J76720,female,control,21.7,normal,259.3,present
C10832,female,control,21.71,normal,247.4,absent
X100969,female,control,21.72,normal,212.2,absent
X46188,female,control,21.72,normal,232.3,absent
X32886,female,control,21.72,normal,263.6,absent
X92796,female,control,21.73,normal,179.8,absent
K5243,female,control,21.73,normal,243.7,absent
R5524,female,control,21.73,normal,251.7,absent
C10828,female,control,21.73,normal,255.3,absent
J82961,female,control,21.74,normal,135.7,absent
J12298,female,control,21.74,normal,160.3,absent
R41004,female,control,21.75,normal,164.0,absent
X43361,female,control,21.75,normal,177.5,absent
C8329,female,control,21.75,normal,177.8,absent
K51278,female,control,21.75,normal,184.0,absent
K419,female,control,21.75,normal,227.2,absent
A14391,female,control,21.75,normal,257.5,absent
X59029,female,control,21.75,normal,176.5,present
K96327,female,control,21.76,normal,178.2,absent
J39513,female,control,21.76,normal,183.8,absent
K3914,female,control,21.76,normal,212.8,absent
20120619-2,female,control,21.76,normal,251.5,absent
R92961,female,control,21.77,normal,169.4,absent
J78112,female,control,21.77,normal,185.8,absent
C6358,female,control,21.77,normal,261.4,absent
C2947,female,control,21.77,normal,311.1,absent
J24156,female,control,21.78,normal,183.7,absent
R17016,female,control,21.78,normal,200.8,absent
J14650,female,control,21.78,normal,209.2,absent
R29823,female,control,21.78,normal,209.9,absent
K98161,female,control,21.78,normal,215.1,absent
R77862,female,control,21.78,normal,240.8,absent
C6905,female,control,21.78,normal,269.9,absent
X89200,female,control,21.79,normal,185.6,absent
J25394,female,control,21.79,normal,196.0,absent
K48331,female,control,21.79,normal,200.1,absent
X55052,female,control,21.79,normal,207.0,absent
X48625,female,control,21.79,normal,213.5,absent
C11159,female,control,21.79,normal,232.6,absent
X38068,female,control,21.79,normal,304.6,absent
K26922,female,control,21.8,normal,180.4,absent
J9678,female,control,21.8,normal,195.2,absent
K10527,female,control,21.81,normal,138.2,absent
X78570,female,control,21.82,normal,211.2,absent
X64727,female,control,21.82,normal,216.8,absent
R15188,female,control,21.82,normal,229.8,absent
20120816F-4,female,control,21.82,normal,283.6,absent
K83411,female,control,21.83,normal,173.1,absent
X19504,female,control,21.83,normal,187.2,present
R92963,female,control,21.84,normal,186.5,absent
R96393,female,control,21.84,normal,187.2,absent
20120802F-4,female,control,21.85,normal,184.4,absent
J41089,female,control,21.85,normal,189.5,absent
X61126,female,control,21.85,normal,257.6,absent
J44470,female,control,21.86,normal,119.3,absent
J21176,female,control,21.86,normal,227.2,absent
K3110,female,control,21.86,normal,243.6,absent
C3274,female,control,21.86,normal,246.6,absent
R85727,female,control,21.87,normal,158.9,absent
J35387,female,control,21.87,normal,179.0,absent
R493,female,control,21.87,normal,241.2,absent
X81665,female,control,21.87,normal,269.7,absent
R66589,female,control,21.87,normal,201.8,present
R26599,female,control,21.88,normal,196.3,absent
C4321,female,control,21.88,normal,202.0,absent
K3112,female,control,21.88,normal,204.8,absent
X78571,female,control,21.88,normal,212.4,absent
J90831,female,control,21.88,normal,219.4,present
X59030,female,control,21.88,normal,226.1,present
R81339,female,control,21.89,normal,151.5,absent
X39804,female,control,21.89,normal,167.4,absent
X61122,female,control,21.89,normal,202.9,absent
J59189,female,control,21.89,normal,216.4,absent
C2946,female,control,21.89,normal,223.7,absent
K3851,female,control,21.89,normal,252.1,absent
X38065,female,control,21.89,normal,144.5,present
K17452,female,control,21.9,normal,133.9,absent
X9129,female,control,21.9,normal,144.6,absent
K13719,female,control,21.9,normal,155.9,absent
20120823F-1,female,control,21.9,normal,195.1,absent
R63028,female,control,21.9,normal,217.7,absent
J18296,female,control,21.9,normal,267.5,absent
K1499,female,control,21.91,normal,206.0,absent
R15187,female,control,21.91,normal,223.0,absent
K10526,female,control,21.92,normal,107.4,absent
C8744,female,control,21.92,normal,203.7,absent
R96395,female,control,21.92,normal,205.1,absent
R14377,female,control,21.92,normal,214.0,absent
J6973,female,control,21.92,normal,223.6,absent
R22117,female,control,21.93,normal,157.2,absent
J68763,female,control,21.93,normal,206.0,absent
X67946,female,control,21.93,normal,210.9,absent
R20067,female,control,21.93,normal,234.9,absent
K11406,female,control,21.94,normal,217.7,absent
J96042,female,control,21.94,normal,246.5,absent
X102376,female,control,21.95,normal,204.0,absent
R1222,female,control,21.95,normal,271.7,absent
X40912,female,control,21.96,normal,141.4,absent
X17177,female,control,21.96,normal,173.7,absent
X2381,female,control,21.96,normal,154.3,present
J31978,female,control,21.97,normal,151.4,absent
X84957,female,control,21.97,normal,218.1,absent
K1503,female,control,21.97,normal,243.6,absent
C4827,female,control,21.97,normal,250.8,absent
J95017,female,control,21.97,normal,223.0,present
J61645,female,control,21.98,normal,173.6,absent
R83977,female,control,21.98,normal,196.1,absent
K13809,female,control,21.98,normal,252.0,absent
K32276,female,control,21.99,normal,140.4,absent
J8780,female,control,21.99,normal,287.2,absent
X48623,female,control,22.0,normal,150.9,absent
J47548,female,control,22.0,normal,182.2,absent
J39514,female,control,22.0,normal,183.6,absent
J84968,female,control,22.0,normal,241.4,absent
K422,female,control,22.01,normal,108.0,absent
K81864,female,control,22.01,normal,205.5,absent
20120802F-3,female,control,22.01,normal,218.3,absent
R72431,female,control,22.01,normal,246.2,absent
K49505,female,control,22.02,normal,143.9,absent
J19678,female,control,22.02,normal,175.1,absent
J72621,female,control,22.02,normal,244.4,absent
X36638,female,control,22.02,normal,190.7,present
X48622,female,control,22.03,normal,192.4,absent
X15896,female,control,22.03,normal,208.8,absent
J35379,female,control,22.04,normal,161.4,absent
J8777,female,control,22.04,normal,182.2,absent
K51275,female,control,22.06,normal,190.4,absent
J45301,female,control,22.06,normal,202.4,absent
J695,female,control,22.06,normal,246.0,absent
J33502,female,control,22.07,normal,183.9,absent
X11457,female,control,22.07,normal,184.0,absent
X3845,female,control,22.07,normal,202.2,present
X1,female,control,22.08,normal,188.9,absent
J16816,female,control,22.09,normal,149.7,absent
X73989,female,control,22.09,normal,212.5,absent
X31632,female,control,22.11,normal,151.1,absent
X77182,female,control,22.11,normal,155.4,absent
R491,female,control,22.11,normal,208.1,absent
K16273,female,control,22.11,normal,298.9,absent
J93550,female,control,22.12,normal,169.8,absent
J40216,female,control,22.12,normal,212.8,absent
K5384,female,control,22.12,normal,277.1,absent
J27016,female,control,22.13,normal,172.9,absent
X49741,female,control,22.13,normal,212.7,absent
J42477,female,control,22.14,normal,120.7,absent
J13713,female,control,22.14,normal,126.1,absent
J82959,female,control,22.14,normal,145.2,absent
J28172,female,control,22.14,normal,216.9,absent
X84470,female,control,22.15,normal,141.5,absent
X34253,female,control,22.15,normal,180.7,absent
J16422,female,control,22.15,normal,188.4,absent
C4219,female,control,22.15,normal,262.7,absent
X73992,female,control,22.15,normal,257.0,present
J28365,female,control,22.16,normal,164.6,absent
20120515F-14,female,control,22.16,normal,201.5,absent
K13807,female,control,22.16,normal,213.7,absent
X57572,female,control,22.16,normal,210.3,present
J82958,female,control,22.17,normal,121.4,absent
C8404,female,control,22.17,normal,217.6,absent
C10432,female,control,22.17,normal,235.6,absent
J33500,female,control,22.17,normal,263.1,absent
X102374,female,control,22.17,normal,268.3,absent
K16673,female,control,22.18,normal,261.0,absent
J23176,female,control,22.19,normal,174.4,absent
J29528,female,control,22.19,normal,188.6,absent
C8328,female,control,22.19,normal,217.5,absent
X81883,female,control,22.19,normal,219.8,absent
K18198,female,control,22.19,normal,235.4,absent
J13698,female,control,22.2,normal,220.0,absent
C10433,female,control,22.2,normal,261.3,absent
R92962,female,control,22.21,normal,81.5,absent
X61124,female,control,22.21,normal,161.7,absent
X19505,female,control,22.21,normal,176.3,absent
R31244,female,control,22.21,normal,178.4,absent
R14376,female,control,22.21,normal,238.4,absent
K5241,female,control,22.21,normal,260.8,absent
J47547,female,control,22.22,normal,156.8,absent
R72428,female,control,22.22,normal,180.1,absent
C7707,female,control,22.22,normal,222.8,absent
J36550,female,control,22.23,normal,172.0,absent
A10852,female,control,22.23,normal,215.7,absent
J90830,female,control,22.23,normal,226.8,absent
J46595,female,control,22.23,normal,257.7,absent
X19501,female,control,22.23,normal,1.1,present
X35247,female,control,22.23,normal,197.4,present
R21018,female,control,22.23,normal,279.5,present
K75107,female,control,22.24,normal,182.3,absent
J53847,female,control,22.24,normal,199.4,absent
R68199,female,control,22.24,normal,254.8,absent
R60520,female,control,22.24,normal,295.6,absent
C10436,female,control,22.25,normal,192.2,absent
20120522F-5,female,control,22.25,normal,193.8,absent
R65192,female,control,22.25,normal,214.2,absent
X95125,female,control,22.25,normal,234.5,absent
A12864,female,control,22.25,normal,265.8,absent
J28169,female,control,22.26,normal,213.6,absent
20120619-5,female,control,22.26,normal,238.1,absent
C5052,female,control,22.27,normal,283.3,absent
C10225,female,control,22.27,normal,286.8,absent
J43544,female,control,22.28,normal,119.3,absent
J82962,female,control,22.28,normal,139.0,absent
C11160,female,control,22.28,normal,223.2,absent
20120809F-1,female,control,22.29,normal,171.0,absent
20120619-3,female,control,22.29,normal,241.5,absent
X32888,female,control,22.29,normal,243.4,absent
K73952,female,control,22.29,normal,244.1,absent
J93549,female,control,22.3,normal,278.2,absent
J61644,female,control,22.31,normal,165.2,absent
R77859,female,control,22.31,normal,165.5,absent
K77278,female,control,22.31,normal,177.9,absent
X21172,female,control,22.31,normal,181.9,absent
X2379,female,control,22.31,normal,182.0,absent
20120612F-1,female,control,22.31,normal,228.0,absent
R36755,female,control,22.31,normal,235.6,absent
C1628,female,control,22.32,normal,182.6,absent
J89907,female,control,22.32,normal,197.2,absent
R42531,female,control,22.32,normal,210.6,absent
X22252,female,control,22.32,normal,204.6,present
R10457,female,control,22.33,normal,196.8,absent
R21017,female,control,22.33,normal,202.3,absent
X77184,female,control,22.33,normal,244.5,present
J92304,female,control,22.34,normal,140.9,absent
X77183,female,control,22.34,normal,183.0,absent
X19502,female,control,22.35,normal,131.6,absent
X10267,female,control,22.35,normal,132.8,absent
C4218,female,control,22.35,normal,211.4,absent
C11435,female,control,22.35,normal,228.6,absent
C9213,female,control,22.36,normal,163.5,absent
X59027,female,control,22.36,normal,194.1,absent
R45046,female,control,22.36,normal,236.3,absent
R18818,female,control,22.36,normal,284.2,absent
K18202,female,control,22.37,normal,176.2,absent
K16274,female,control,22.37,normal,225.3,absent
X41906,female,control,22.37,normal,229.0,absent
J97984,female,control,22.37,normal,246.0,absent
X5242,female,control,22.38,normal,159.4,absent
J13699,female,control,22.38,normal,213.2,absent
C10830,female,control,22.38,normal,238.5,absent
C4322,female,control,22.38,normal,247.2,absent
J84970,female,control,22.39,normal,152.0,absent
20120612F-3,female,control,22.39,normal,203.0,absent
K66470,female,control,22.41,normal,189.7,absent
R52210,female,control,22.41,normal,198.9,absent
X40909,female,control,22.41,normal,214.4,absent
X61555,female,control,22.42,normal,192.3,absent
J24123,female,control,22.42,normal,202.2,absent
R1219,female,control,22.42,normal,218.0,absent
X67947,female,control,22.42,normal,251.6,absent
J16419,female,control,22.43,normal,235.0,absent
J43547,female,control,22.44,normal,138.1,absent
K81940,female,control,22.44,normal,161.8,absent
R81342,female,control,22.44,normal,182.8,absent
X35248,female,control,22.44,normal,267.3,absent
J18295,female,control,22.45,normal,150.3,absent
J42433,female,control,22.45,normal,204.5,absent
J46596,female,control,22.46,normal,212.7,absent
R91669,female,control,22.46,normal,224.0,absent
X39807,female,control,22.47,normal,160.2,absent
J31966,female,control,22.48,normal,175.8,absent
R7811,female,control,22.48,normal,227.8,absent
K76401,female,control,22.48,normal,235.4,absent
A12138,female,control,22.48,normal,266.1,absent
X54085,female,control,22.49,normal,275.2,absent
X3842,female,control,22.49,normal,231.1,present
J13711,female,control,22.5,normal,111.6,absent
J57544,female,control,22.5,normal,137.4,absent
20120522F-4,female,control,22.5,normal,159.9,absent
C10224,female,control,22.5,normal,225.8,absent
C8403,female,control,22.51,normal,188.1,absent
X84954,female,control,22.51,normal,152.2,present
J25396,female,control,22.52,normal,139.8,absent
20120522F-3,female,control,22.52,normal,173.4,absent
C11161,female,control,22.52,normal,186.2,absent
A15494,female,control,22.52,normal,220.8,absent
C6906,female,control,22.53,normal,184.2,absent
X57571,female,control,22.54,normal,158.3,present
R60517,female,control,22.55,normal,118.2,absent
20120612F-4,female,control,22.55,normal,173.1,absent
R31242,female,control,22.55,normal,205.9,absent
C7705,female,control,22.55,normal,208.8,absent
X55991,female,control,22.55,normal,138.4,present
K73950,female,control,22.56,normal,156.7,absent
J8762,female,control,22.56,normal,183.6,absent
C9704,female,control,22.56,normal,243.4,absent
J26949,female,control,22.58,normal,205.4,absent
C5164,female,control,22.58,normal,211.5,absent
X92798,female,control,22.58,normal,218.7,absent
J49901,female,control,22.58,normal,224.8,absent
J53433,female,control,22.59,normal,144.1,absent
X66855,female,control,22.59,normal,196.1,absent
X31634,female,control,22.6,normal,120.8,absent
J55688,female,control,22.6,normal,174.9,absent
X81667,female,control,22.61,normal,209.7,absent
R42535,female,control,22.62,normal,227.8,absent
R31243,female,control,22.62,normal,264.3,absent
