sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,vertebrae_morphology,heart_rate_bpm
81Z-64286,male,control,28.5,13.7,right eye abnormal,266.721,normal,758.0
81Z-64287,female,control,20.8,14.3,normal,234.17067,normal,763.0
81Z-64288,female,control,24.0,13.8,normal,234.554,normal,719.0
81Z-64289,female,control,23.9,14.1,normal,222.29933,normal,713.0
81Z-64296,male,control,27.8,13.9,normal,247.38234,normal,679.0
81Z-64319,male,control,23.0,13.6,right eye abnormal,237.617,normal,794.0
81Z-64320,male,control,24.6,14.5,normal,219.61867,normal,787.0
81Z-64321,male,control,23.6,14.8,normal,233.02167,normal,724.0
81Z-64322,male,control,25.3,13.3,normal,263.466,normal,669.0
81Z-64323,female,control,22.1,14.0,normal,203.535,normal,711.0
81Z-64324,female,control,23.0,13.5,normal,219.23567,normal,731.0
81Z-64325,female,control,21.5,13.9,normal,219.42734,normal,706.0
81Z-64326,female,control,21.2,14.1,normal,209.47067,normal,700.0
81Z-65621,male,control,27.9,14.3,normal,282.42166,normal,745.0
81Z-65622,male,control,26.9,13.8,normal,262.12534,normal,760.0
81Z-65623,male,control,25.6,13.3,normal,233.213,normal,699.0
81Z-65701,male,control,33.2,14.0,normal,231.29866,normal,679.0
81Z-65702,male,control,27.1,14.6,normal,247.95667,normal,735.0
81Z-65703,male,control,27.8,14.2,normal,227.66066,normal,671.0
81Z-65704,male,control,28.2,13.8,left eye abnormal,230.34134,normal,715.0
81Z-65717,female,control,23.4,13.6,normal,211.57666,normal,785.0
81Z-65718,female,control,22.1,13.2,normal,210.23666,normal,712.0
81Z-65719,female,control,20.9,13.3,normal,208.13034,normal,779.0
81Z-65720,female,control,22.0,13.6,normal,229.95833,normal,730.0
81Z-65721,female,control,18.7,13.5,normal,194.344,normal,735.0
81Z-65877,male,control,30.7,12.9,left eye abnormal,197.79066,normal,758.0
81Z-65878,male,control,29.5,13.2,normal,242.787,normal,733.0
81Z-65879,male,control,27.9,13.4,normal,226.703,normal,758.0
81Z-65880,male,control,29.6,13.5,normal,216.17233,normal,687.0
81Z-65881,male,control,29.5,13.9,normal,206.21533,normal,769.0
81Z-66216,male,control,25.8,14.8,normal,206.216,abnormal,775.0
81Z-66229,male,control,27.6,13.2,right eye abnormal,193.38667,normal,689.0
81Z-66230,male,control,31.0,14.0,normal,256.76468,normal,728.0
81Z-66231,female,control,21.7,12.8,right eye abnormal,189.74867,normal,801.0
81Z-66232,female,control,23.5,13.3,normal,206.02434,normal,668.0
81Z-66233,female,control,22.5,13.6,normal,191.08934,normal,625.0
81Z-66382,male,control,27.7,13.3,normal,248.531,normal,718.0
81Z-66383,male,control,27.7,13.1,normal,256.76468,normal,685.0
81Z-66462,male,control,27.2,12.3,normal,199.70534,normal,781.0
81Z-82478,male,control,28.7,14.4,normal,210.61934,normal,779.0
81Z-82479,male,control,24.3,14.3,normal,175.58,normal,779.0
81Z-82480,female,control,20.6,14.7,normal,187.06833,normal,787.0
81Z-82482,female,control,20.7,14.4,normal,187.643,normal,793.0
81Z-82484,female,control,22.3,14.6,normal,210.61934,normal,780.0
81Z-82485,female,control,22.8,14.6,normal,154.135,normal,787.0
81Z-82486,female,control,22.2,14.3,normal,193.19566,normal,780.0
81Z-82531,male,control,26.9,14.4,normal,222.68233,normal,782.0
81Z-82532,male,control,27.1,14.0,normal,274.18866,normal,746.0
81Z-82533,male,control,25.2,13.2,normal,191.66367,normal,610.0
81Z-82535,male,control,28.3,13.7,normal,211.577,normal,731.0
81Z-82536,male,control,25.1,13.8,normal,199.131,normal,727.0
81Z-82537,male,control,25.3,14.2,normal,193.77034,normal,727.0
81Z-82538,male,control,25.0,14.0,normal,161.21933,normal,692.0
81Z-82539,female,control,21.0,14.0,normal,174.04834,normal,775.0
81Z-82540,female,control,22.2,14.2,normal,206.21533,normal,729.0
81Z-82542,female,control,20.8,13.8,normal,167.92134,normal,722.0
81Z-82632,female,control,24.2,14.3,normal,192.42934,normal,792.0
81Z-82653,female,control,25.5,13.3,normal,203.34334,normal,780.0
81Z-82701,male,control,25.8,14.2,normal,197.59933,normal,776.0
81Z-82702,male,control,30.4,11.1,normal,164.85733,normal,784.0
81Z-82703,female,control,22.7,14.4,normal,172.51633,normal,666.0
81Z-82982,male,control,27.0,13.9,normal,168.49533,normal,806.0
